Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2
Public,3978,C04,B04,65,3983.42,,3973.42,0.47,0.32,0.37,4.28,0.003,0.53,0.1,31.78,0.02,215.5,0.83,111,33.11,40,5.35,19.75,24.59,28.21,3.66,15.78,12.14,6,2,7.58,10,930.38,7.55,8.13,4.27,6,Public Formation,
Public,3978,C04,B04,67,3983.58,,3973.58,0.51,0.31,0.64,5.53,0.01,0.53,0.1,30.22,0.03,231.41,0.77,111,54.89,40,7.05,14.22,24.89,30.31,5.2,12.26,11.73,6,2.1,9.07,10,1050.29,10.82,10.83,2.91,6,Public Formation,
Public,3978,C04,B04,69,3983.75,,3973.75,0.53,0.37,1.26,6.73,0.09,0.95,0.17,26.76,0.06,203.56,0.99,111,81.28,50.8,5.48,44.28,39.09,81.08,7.24,19.77,15.52,6,2.68,11.18,16.33,1404.94,8.6,5,4.9,6,Public Formation,
Public,3978,C04,B04,71,3983.92,,3973.92,0.61,0.04,1.87,8.54,0.2,1.63,0.27,18.45,0.11,177.24,1.64,111,129.82,68.33,5.43,74.52,52.54,103.93,9.17,33.77,20.88,6,3.52,23.33,19.47,1011.11,11.66,46.98,7.12,18.22,Public Formation,
Public,3978,C04,B04,73,3984.08,,3974.08,0.5,0.64,1.7,10.47,0.31,1.45,0.21,21.82,0.08,194.95,1.32,111,174.28,67.63,6.06,86.36,49.89,109.85,6.39,26.41,17.96,6,3.06,15.18,22.56,1196.79,10.21,29.58,7.13,44.33,Public Formation,
Public,3978,C04,B04,75,3984.25,,3974.25,0.51,0.38,1.8,7.61,0.21,1.05,0.18,25.89,0.1,185.44,0.99,394.33,300.29,53.87,4.54,69.82,46.67,81.81,7.84,24.26,20.17,6,2.81,6.94,30.87,1319.11,8.73,13.06,5.24,42.08,Public Formation,
Public,3978,C04,B04,77,3984.42,,3974.42,0.65,0.04,0.72,6.63,0.11,0.73,0.11,23.95,0.04,186.39,0.8,111,193.93,45.41,4.41,85.48,59.14,130.42,6.75,28.13,17.59,6,2.79,12.27,18.71,1290.17,9.93,17.6,5.57,46.78,Public Formation,
Public,3978,C04,B04,79,3984.58,,3974.58,0.58,0.18,1.92,12.36,0.22,1.16,0.28,20.86,0.1,180.82,0.97,294.25,373.95,100.24,5.78,88.03,60.63,158.34,8.1,23.71,18.72,6,3.16,23.05,12.5,829.86,16.79,57.33,6.82,25.31,Public Formation,
Public,3978,C04,B04,81,3984.75,,3974.75,0.65,0.04,2.2,11.96,0.22,1.08,0.34,17.07,0.1,162.73,0.97,111,527.51,91.79,8.36,97.85,66.36,179.45,13.07,24.52,18.4,6,3.84,33.8,11.72,711.37,21.88,92.08,8.08,42.99,Public Formation,
Public,3978,C04,B04,83,3984.92,,3974.92,0.47,0.67,1.78,10.11,0.29,1.21,0.24,24.65,0.08,189.32,1.07,278.28,399.9,67.1,6.25,95.99,53.25,100.88,9.38,22.7,15.78,6,3.1,15.98,20.52,1175.81,13.22,33.55,6.8,40.61,Public Formation,
Public,3978,C04,B04,85,3985.08,,3975.08,0.56,0.3,3.91,11.52,0.36,1.42,0.24,14.65,0.17,201.43,1.46,1038.61,431.66,74.47,3.92,134.12,58.99,124.69,8.37,29.04,21.81,6,3.24,19.57,18.5,996.72,9.72,47.85,6.96,62.85,Public Formation,
Public,3978,C04,B04,87,3985.25,,3975.25,0.46,0.44,1.75,8.1,0.21,1.2,0.21,25.87,0.09,174.4,1.19,269.49,492.71,53.5,5.84,76.28,50.85,81.19,7.98,20.37,15.27,6,2.62,8.9,20.82,1426.74,9.28,12.6,6.3,25.8,Public Formation,
Public,3978,C04,B04,89,3985.42,,3975.42,0.61,0.04,1.04,10.69,0.19,0.8,0.16,21.39,0.05,197.92,0.78,111,406.34,67.08,3.8,76.63,51.27,132.94,5.74,21.29,14.87,6,2.7,12.71,18.34,1172.23,7.52,20.75,5.91,26.55,Public Formation,
Public,3978,C04,B04,91,3985.58,,3975.58,0.63,0.04,0.75,7.43,0.16,0.68,0.15,23.07,0.04,183.45,0.74,111,353.22,52.91,6.94,90.95,55.86,143.34,6.69,15.58,13.21,6,2.74,11.94,19.29,1170.7,10.08,24.87,5.4,24.49,Public Formation,
Public,3978,C04,B04,93,3985.75,,3975.75,0.44,0.53,1.95,7.27,0.31,1.12,0.32,25.91,0.09,175.28,1.07,111,548.64,51.93,6.11,109.44,66.24,222.4,11.38,29.29,21.76,6,3.53,21.17,22.82,1302.58,17.48,46.78,8.02,49.01,Public Formation,
Public,3978,C04,B04,95,3985.92,,3975.92,0.57,0.22,1.17,8.84,0.16,0.86,0.16,23.68,0.06,192.37,0.87,111,380.95,54.3,6.75,92.9,52.91,173.71,9.43,19.85,16.25,6,2.55,9.62,20.2,1136.86,7.21,22.63,7.08,43.19,Public Formation,
Public,3978,C04,B04,97,3986.08,,3976.08,0.45,0.81,2.14,10.46,0.33,1.54,0.27,23.36,0.11,194.91,1.25,226.05,698.21,61.56,5.85,108.79,67.13,245.58,7.8,28.08,20.16,6,2.82,14.01,17.92,1040.94,6.76,47.06,5.31,49.22,Public Formation,
Public,3978,C04,B04,99,3986.25,,3976.25,0.55,0.04,0.56,7.91,0.12,0.62,0.11,22.95,0.04,202.42,0.64,111,289.79,51.24,5.77,78.09,44.34,142.87,6.73,20.43,15.36,6,2.64,7.62,27.13,1291.72,9.59,15.87,6.81,34.82,Public Formation,
Public,3978,C04,B04,101,3986.42,,3976.42,0.52,2.18,0.62,2.67,0.003,0.46,0.11,26.29,0.02,211.39,0.85,111,126.32,40,4.16,15.25,22.77,21.64,5.27,22.19,15.76,6,2,10.33,10,771.77,7.22,21.83,2.95,6,Public Formation,
Public,3978,C04,B04,103,3986.58,,3976.58,0.43,6.22,1.69,3.86,0.03,0.5,0.13,26.16,0.02,319.58,0.74,111,132.37,40,5.73,12.72,17.78,32.87,4.76,15.93,12.73,6,2,5,12.59,913.65,3.68,19.32,4.41,6,Public Formation,
Public,3978,C04,B04,105,3986.75,,3976.75,0.39,0.82,0.38,5.58,1.4,0.45,0.08,31.67,0.03,198.85,0.67,111,258.92,42.71,6.91,44.87,32.15,55.57,4.72,15.88,12.71,6,2.3,5,47.24,1987.09,8.3,5,6.25,6,Public Formation,
Public,3978,C04,B04,107,3986.92,,3976.92,0.46,0.29,1.27,10.08,0.27,1.04,0.19,24.44,0.08,187.27,0.97,471.71,564.71,66.24,6.09,98.2,63.07,231.64,7.9,24.03,18.65,6,2.95,14.78,19.64,1267.75,9.88,28.74,5.52,35.69,Public Formation,
Public,3978,C04,B04,109,3987.08,,3977.08,0.42,0.54,1.44,8.97,0.87,1.12,0.17,24.58,0.1,183.19,1.05,449.21,514.06,48.81,4.39,90.61,51.2,116.71,7.03,25.91,17.42,6,2.66,5,57.87,1447.88,50.49,15.69,16.98,32.25,Public Formation,
Public,3978,C04,B04,111,3987.25,,3977.25,0.85,0.29,13.93,20.72,0.27,0.88,1.48,1.12,0.33,171.34,0.81,619.13,103.22,128.21,6.65,12.13,15.7,97.78,35.06,8.44,19.18,6,3.32,32.8,10,595.45,24.06,488.94,12.85,12.44,Public Formation,
Public,3978,C04,B04,113,3987.42,,3977.42,0.41,0.35,1.15,10.58,0.17,0.75,0.18,24.42,0.05,213.12,0.69,111,281.62,67.07,5.01,51.43,40.5,174.17,7.84,14.87,13.4,6,2.34,5.74,21.17,1346.04,10.33,26.05,5.94,9.1,Public Formation,
Public,3978,C04,B04,115,3987.58,,3977.58,0.52,0.25,1.73,10.32,0.16,0.91,0.22,24.31,0.06,182.51,0.82,111,339.77,69.26,6.26,73.16,54.24,120.23,6.42,23.19,17.29,6,2.97,16.27,19.56,1019.71,15.41,51.56,7.97,8.82,Public Formation,
Public,3978,C04,B04,117,3987.75,,3977.75,0.55,0.1,1.35,11.64,0.16,0.83,0.24,18.89,0.07,192.09,0.92,111,132.58,92.54,6.76,58.96,42.94,95.26,8.52,16.37,14.31,6,3.14,24.87,10,840.09,17.69,46.7,8.68,6,Public Formation,
Public,3978,C04,B04,119,3987.92,,3977.92,0.55,0.04,1.02,9.44,0.2,0.67,0.14,22.3,0.04,200.34,0.74,111,93.49,74.37,5.72,43.37,39.23,75.06,6.53,14.69,12.8,6,2.54,11.92,15.03,1081.34,10.46,19.95,6.9,6,Public Formation,
Public,3988,C04,B05,1,3988.08,,3978.08,0.49,0.41,1.02,10.46,0.22,0.72,0.16,23.9,0.05,211.13,0.72,111,106.55,74.84,6.14,48.26,37.68,64.15,7.95,14.43,13.24,6,2.55,10.49,17.73,1119.97,13.7,21.5,6.21,6,Public Formation,
Public,3988,C04,B05,3,3988.25,,3978.25,0.56,0.04,0.75,5,0.19,0.74,0.11,25.6,0.05,197.19,0.9,111,99.44,47.28,5.19,57.71,45.36,64.28,7.19,19.67,13.44,6,2.35,8,15.91,1347.92,9.2,18.72,5.02,6,Public Formation,
Public,3988,C04,B05,5,3988.42,,3978.42,0.55,0.04,0.15,4.16,0.11,0.37,0.07,29.67,0.02,200.57,0.65,111,62.45,40,7.87,23.34,29.95,45.45,5.82,12.35,11.15,6,2,5,23.27,1440.61,3.45,5,3.05,6,Public Formation,
Public,3988,C04,B05,7,3988.58,,3978.58,0.37,0.68,0.57,3.03,0.01,0.5,0.09,35.73,0.02,297.55,0.75,111,44.91,40,6.43,17.55,28.34,29.51,5.24,11.53,10.25,6,2,5,10,1144.38,5.64,18.48,2.88,6,Public Formation,
Public,3988,C04,B05,9,3988.75,,3978.75,0.44,0.09,0.2,3.68,0.003,0.56,0.06,31.62,0.01,231.62,0.79,111,30,40,5.54,20.42,30.1,69.32,3.75,17.74,13.17,6,2.04,5,15.58,1255.02,3.93,5,2.96,6,Public Formation,
Public,3988,C04,B05,11,3988.92,,3978.92,0.43,0.37,0.24,4,0.003,0.37,0.07,33.83,0.02,217.8,0.66,111,47.65,40,6.66,21.22,27.51,25.08,3.78,12.77,10.58,6,2,5,10,1176.77,5.71,5,3.41,6,Public Formation,
Public,3988,C04,B05,13,3989.08,,3979.08,0.5,0.4,0.27,4.86,0.06,0.37,0.07,30.99,0.02,232.84,0.64,111,37.95,40,7.26,14.29,25.77,27.98,4.3,12.49,10.62,6,2.05,5,20.39,1281.91,4.54,5,3.9,6,Public Formation,
Public,3988,C04,B05,15,3989.25,,3979.25,0.49,0.89,0.61,5.17,0.12,0.63,0.12,30.27,0.03,209.47,0.8,111,61.67,40,6.97,26.66,30.21,29.89,4.05,15.9,12.37,6,2.03,5,18.38,1504.23,5.95,5,3.59,6,Public Formation,
Public,3988,C04,B05,17,3989.42,,3979.42,0.51,1.39,1.46,9.6,0.23,0.79,0.24,21.6,0.06,249.62,0.87,111,80.46,69.23,5.27,40.43,38.51,70.08,8.68,17.77,14.38,6,2.88,19.43,11.52,987.52,14.66,38.45,5.36,6,Public Formation,
Public,3988,C04,B05,19,3989.58,,3979.58,0.48,0.49,1.1,4.65,0.02,0.49,0.11,29.8,0.03,218.09,0.69,111,36.98,40,5.91,13.45,27.23,41.9,5.67,10.88,11.32,6,2,5,11.19,1127.78,10.54,12.34,4.95,6,Public Formation,
