,Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,PCA1,PCA2,Chemofacies_train
45,Public,3978,C04,B04,89,3985.42,,3975.42,0.61,0.04,1.04,10.69,0.19,0.8,0.16,21.39,0.05,197.92,0.78,111.0,406.34,67.08,3.8,76.63,51.27,132.94,6.0,21.29,25.0,6,2.7,12.71,18.34,1172.23,7.52,20.75,5.91,26.55,Eagle Ford,Lower Eagle Ford,False,1,0.3429290280185858,0.32815298538136406,
46,Public,3978,C04,B04,91,3985.58,,3975.58,0.63,0.04,0.75,7.43,0.16,0.68,0.15,23.07,0.04,183.45,0.74,111.0,353.22,52.91,6.94,90.95,55.86,143.34,6.69,15.58,25.0,6,2.74,11.94,19.29,1170.7,10.08,24.87,5.4,24.49,Eagle Ford,Lower Eagle Ford,False,1,-0.5706266609626979,0.6497759732730973,
47,Public,3978,C04,B04,93,3985.75,,3975.75,0.44,0.53,1.95,7.27,0.31,1.12,0.32,25.91,0.09,175.28,1.07,111.0,548.64,51.93,6.11,109.44,66.24,222.4,11.38,29.29,25.0,6,3.53,21.17,22.82,1302.58,17.48,46.78,8.02,49.01,Eagle Ford,Lower Eagle Ford,False,4,4.1672716737145015,0.4947128031786426,
48,Public,3978,C04,B04,95,3985.92,,3975.92,0.57,0.22,1.17,8.84,0.16,0.86,0.16,23.68,0.06,192.37,0.87,111.0,380.95,54.3,6.75,92.9,52.91,173.71,9.43,19.85,25.0,6,2.55,9.62,20.2,1136.86,7.21,22.63,7.08,43.19,Eagle Ford,Lower Eagle Ford,False,1,0.46785148200559373,0.1263613591443848,
49,Public,3978,C04,B04,97,3986.08,,3976.08,0.45,0.81,2.14,10.46,0.33,1.54,0.27,23.36,0.11,194.91,1.25,226.05,698.21,61.56,5.85,108.79,67.13,245.58,7.8,28.08,25.0,6,2.82,14.01,17.92,1040.94,6.76,47.06,5.31,49.22,Eagle Ford,Lower Eagle Ford,False,3,3.4054489602336897,-0.2884745477039316,
50,Public,3978,C04,B04,99,3986.25,,3976.25,0.55,0.04,0.56,7.91,0.12,0.62,0.11,22.95,0.04,202.42,0.64,111.0,289.79,51.24,5.77,78.09,44.34,142.87,6.73,20.43,25.0,6,2.64,7.62,27.13,1291.72,9.59,15.87,6.81,34.82,Eagle Ford,Lower Eagle Ford,False,1,-0.9033823872025617,-0.4853347396198714,
51,Public,3978,C04,B04,101,3986.42,,3976.42,0.52,2.18,0.62,2.67,0.003,0.46,0.11,26.29,0.02,211.39,0.85,111.0,126.32,40.0,4.16,15.25,22.77,21.64,6.0,22.19,25.0,6,2.0,10.33,10.0,771.77,7.22,21.83,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-3.0918007422452973,0.9134807398962144,
52,Public,3978,C04,B04,107,3986.92,,3976.92,0.46,0.29,1.27,10.08,0.27,1.04,0.19,24.44,0.08,187.27,0.97,471.71,564.71,66.24,6.09,98.2,63.07,231.64,7.9,24.03,25.0,6,2.95,14.78,19.64,1267.75,9.88,28.74,5.52,35.69,Eagle Ford,Lower Eagle Ford,False,1,2.062116059729055,-0.3271375323556826,
53,Public,3978,C04,B04,113,3987.42,,3977.42,0.41,0.35,1.15,10.58,0.17,0.75,0.18,24.42,0.05,213.12,0.69,111.0,281.62,67.07,5.01,51.43,40.5,174.17,7.84,14.87,25.0,6,2.34,5.74,21.17,1346.04,10.33,26.05,5.94,9.1,Eagle Ford,Lower Eagle Ford,False,1,-0.6418177825714203,-0.2437200340264306,
54,Public,3978,C04,B04,115,3987.58,,3977.58,0.52,0.25,1.73,10.32,0.16,0.91,0.22,24.31,0.06,182.51,0.82,111.0,339.77,69.26,6.26,73.16,54.24,120.23,6.42,23.19,25.0,6,2.97,16.27,19.56,1019.71,15.41,51.56,7.97,8.82,Eagle Ford,Lower Eagle Ford,False,3,1.4655115246480805,2.040649413106211,
55,Public,3978,C04,B04,117,3987.75,,3977.75,0.55,0.1,1.35,11.64,0.16,0.83,0.24,18.89,0.07,192.09,0.92,111.0,132.58,92.54,6.76,58.96,42.94,95.26,8.52,16.37,25.0,6,3.14,24.87,10.0,840.09,17.69,46.7,8.68,6.0,Eagle Ford,Lower Eagle Ford,False,3,1.9657402311103689,4.397216470899407,
56,Public,3978,C04,B04,119,3987.92,,3977.92,0.55,0.04,1.02,9.44,0.2,0.67,0.14,22.3,0.04,200.34,0.74,111.0,93.49,74.37,5.72,43.37,39.23,75.06,6.53,14.69,25.0,6,2.54,11.92,15.03,1081.34,10.46,19.95,6.9,6.0,Eagle Ford,Lower Eagle Ford,False,1,-0.9062266113967273,1.566121639628373,
57,Public,3988,C04,B05,1,3988.08,,3978.08,0.49,0.41,1.02,10.46,0.22,0.72,0.16,23.9,0.05,211.13,0.72,111.0,106.55,74.84,6.14,48.26,37.68,64.15,7.95,14.43,25.0,6,2.55,10.49,17.73,1119.97,13.7,21.5,6.21,6.0,Eagle Ford,Lower Eagle Ford,False,1,-0.7347561534099011,1.5695171880182641,
58,Public,3988,C04,B05,3,3988.25,,3978.25,0.56,0.04,0.75,5.0,0.19,0.74,0.11,25.6,0.05,197.19,0.9,111.0,99.44,47.28,5.19,57.71,45.36,64.28,7.19,19.67,25.0,6,2.35,8.0,15.91,1347.92,9.2,18.72,5.02,6.0,Eagle Ford,Lower Eagle Ford,False,1,-1.6555952447867917,-0.17022851254885643,
