Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth_corrected,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,Concretion,VolcanicAsh,Chemofacies_train
Public core,4008,C04,B07,45,4011.75,,4001.25,0.39,0.5,0.32,3.95,0.08,0.44,0.09,34.48,0.02,212.23,0.75,111,118.91,40,6.1,29.52,30.2,43.89,6,13.52,25,6,2.07,5.76,14.02,1032.98,,7.47,5,5,14.76,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,47,4011.92,,4001.42,0.5,0.18,0.67,5.3,0.1,0.51,0.1,28.49,0.03,216.19,0.72,111,198.66,40,6.15,26.8,27,38.82,6.43,11.13,25,6,2,5,15.17,1154.43,,5,5,5,11.9,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,4008,C04,B07,49,4012.08,,4001.58,0.37,0.48,0.11,4.39,0.04,0.4,0.07,33.62,0.01,173.6,0.68,111,101.94,40,7.54,33.14,31.91,36.74,6,13.04,25,6,2,5,17.6,1391.21,,5,5,5,6.91,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,4008,C04,B07,51,4012.25,,4001.75,0.51,0.16,0.14,3.17,0.003,0.33,0.07,31.47,0.01,177.87,0.73,111,62.3,40,6.63,19.37,25.21,30.14,6,13.34,25,6,2,5,12.39,1009.42,,5,5,5,10.5,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,53,4012.42,,4001.92,0.44,0.2,0.2,4.06,0.003,0.39,0.07,32.83,0.01,192.27,0.68,111,72.23,40,7.49,25.14,24.13,31.35,6,12.08,25,6,2,9.43,10,919.29,,6.63,5,5,9.05,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,61,4013.08,,4002.58,0.5,0.04,0.65,4.26,0.04,0.32,0.1,30.38,0.01,206.35,0.68,111,71.81,40,6.63,16.99,28.22,38.71,6,14.31,25,6,2,5,21.29,957.89,,5,21.91,5,9.92,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,71,4013.92,,4003.42,0.45,0.05,0.35,3.86,0.003,0.33,0.08,32.18,0.01,179.29,0.68,111,160.64,40,6.93,25.69,29.25,29.64,6,13.63,25,6,2,5,17.39,1233.86,,5.63,5,5,10.57,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,4008,C04,B07,73,4014.08,,4003.58,0.44,0.6,0.25,4.49,0.04,0.31,0.08,32.88,0.01,196.63,0.67,111,116.18,40,8.17,26.84,29.62,40.74,6,11.8,25,6,2,6.45,10,1282.67,,5.05,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,4008,C04,B07,75,4014.25,,4003.75,0.4,0.44,0.29,4.8,0.003,0.38,0.08,33.68,0.01,205.72,0.64,111,151.24,40,6.63,30.55,27.25,34.27,6,13.72,25,6,2,5,21.42,1176.56,,5,5,5,12.05,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,77,4014.42,,4003.92,0.48,0.38,0.4,4.19,0.003,0.38,0.1,33.34,0.02,211.48,0.72,111,213.39,40,6.14,30.86,29.49,33.52,6,12.51,25,6,2,6.96,10,864.73,,8.57,5,5,11.14,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,99,4016.25,,4005.75,0.53,0.17,0.34,4.2,0.003,0.4,0.08,31.34,0.01,188.01,0.71,111,88.17,40,6.96,22.43,24.91,22.62,6,14.27,25,6,2.02,6.83,11.42,882.89,,9.97,8.43,5,14.47,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,107,4016.92,,4006.42,0.45,0.59,0.48,5.78,0.01,0.37,0.09,32.05,0.02,225.15,0.65,111,165.25,40,7.24,30.86,27.97,34.69,6,10.96,25,6,2.23,6.76,18.47,1004.19,,7.34,5,5,16.75,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,117,4017.75,,4007.25,0.45,0.78,0.37,6.91,0.05,0.4,0.09,32.06,0.02,212.35,0.67,111,161.52,40,6.1,31.83,29.76,25.7,6,13.17,25,6,2,6.72,10,1021.8,,6.28,5,5,17.23,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4008,C04,B07,119,4017.92,,4007.42,0.35,0.67,0.38,4.83,0.003,0.44,0.1,34.02,0.02,198.72,0.77,111,137.39,40,6.32,32.55,30.37,25.94,6,15.57,25,6,2,5,10,1044.71,,5.45,5,5,11.96,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,9,4018.75,,4008.25,0.43,0.4,0.41,3.82,0.13,0.37,0.09,34.19,0.02,200.78,0.76,111,81.63,40,6.02,19.4,27.78,56.22,6,12.83,25,6,2.08,8.5,10,946.5,,5,5,5,11.77,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,21,4019.75,,4009.25,0.4,0.72,0.67,4.71,0.003,0.42,0.11,34.51,0.03,218.23,0.7,111,202.4,40,6.85,31.47,27.06,37.49,6,12.26,25,6,2,6.26,11.09,888.16,,9.18,8.6,5,18.99,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,25,4020.08,,4009.58,0.44,0.63,0.46,3.38,0.02,0.46,0.09,35.29,0.02,195.31,0.8,111,108.43,40,5.77,25.41,25.38,33.68,6,13.95,25,6,2,5,10,968.47,,5,8.47,5,10.15,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,49,4022.08,,4011.58,0.43,0.74,0.26,5.37,0.02,0.48,0.08,33.08,0.01,197.15,0.76,111,111.88,40,6.87,24.19,27.91,27.81,6,15.24,25,6,2,5,14.64,1018.08,,6,5,5.39,16.51,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,51,4022.25,,4011.75,0.4,0.55,0.4,4.82,0.03,0.6,0.09,34.01,0.02,210.64,0.76,111,133.26,40,7.49,30.62,26.46,43.86,6,16.5,25,6,2,6.81,10,954.46,,6.89,5,5,8.12,Public Formation,,FALSE,1,TRUE,FALSE,0
