,Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,PCA1,PCA2,Chemofacies_Train
93,Public,3988,C04,B05,75,3994.25,,3984.25,0.76,0.04,0.8,8.85,0.2,0.71,0.17,18.82,0.05,163.76,0.82,111,557.4,57.6,6.34,98.71,60.11,133.3,8.78,22.99,25,6,3.01,12.85,26.67,1108.74,5,21.22,6.24,64.33,Eagle Ford,Lower Eagle Ford,FALSE,1,1.280198725,0.174904813,1
94,Public,3988,C04,B05,77,3994.42,,3984.42,0.41,0.78,0.99,9.05,0.09,0.89,0.13,27.25,0.04,199.21,0.72,111,416.43,55.24,5.14,82.93,43.89,57.57,7.08,19.58,25,6,2.35,5,22.29,1287.66,5.16,5,5.41,44.72,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.454227981,-1.537082109,1
96,Public,3988,C04,B05,81,3994.75,,3984.75,0.47,0.29,1.1,8.01,0.42,0.89,0.15,25.32,0.05,186.52,0.85,111,462.84,55.12,5.28,82.4,52.39,131.39,6.82,24.69,25,6,2.49,8.4,19.16,1256.6,9.63,24.17,7.24,40.26,Eagle Ford,Lower Eagle Ford,FALSE,1,0.48428939,-0.734296928,1
97,Public,3988,C04,B05,83,3994.92,,3984.92,0.48,0.35,1.4,6.85,0.08,0.94,0.21,25.16,0.08,177.3,1.02,111,357.21,61,6.21,88.33,61.23,134.51,6.27,29.69,25,6,2.75,13.8,17.14,988.61,12.53,51.46,6.57,43.97,Eagle Ford,Lower Eagle Ford,FALSE,1,1.178965533,0.942480028,1
102,Public,3988,C04,B05,93,3995.75,,3985.75,0.46,0.61,0.59,9.81,0.14,0.72,0.1,26.44,0.03,211.06,0.62,111,329.74,64.09,5.81,71.25,39.23,80.9,6.29,13.73,25,6,2.41,5.73,23.36,1308.34,5,5,5,42.41,Eagle Ford,Lower Eagle Ford,FALSE,1,-2.092285213,-1.063040812,1
104,Public,3988,C04,B05,97,3996.08,,3986.08,0.49,0.55,1.33,10.99,0.16,0.91,0.18,24.51,0.05,180.01,0.73,111,653.27,55.79,5.37,91.67,55.87,130.82,6.73,24.15,25,6,2.78,8.72,28.31,1180.57,8,15.55,5.2,64.06,Eagle Ford,Lower Eagle Ford,FALSE,1,0.56861535,-1.099783754,1
105,Public,3988,C04,B05,99,3996.25,,3986.25,0.44,0.95,1.23,9.47,0.23,1.09,0.22,26.19,0.06,160.1,0.95,111,811.83,53.8,4.51,119.91,71.6,184.87,10.19,25.58,25,6,2.83,5.79,30.98,1266.38,7.14,18.94,7.77,90.72,Eagle Ford,Lower Eagle Ford,FALSE,1,2.554477813,-2.512939393,1
106,Public,3988,C04,B05,101,3996.42,,3986.42,0.38,0.65,1.11,10.23,0.1,0.9,0.18,26.15,0.05,188.65,0.82,111,695.57,52.01,6.95,104.97,56.51,145.04,6,21.13,25,6,2.55,8.79,19.17,1243.88,5,13.3,5.66,59.02,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.414008353,-1.396468074,1
107,Public,3988,C04,B05,103,3996.58,,3986.58,0.38,0.43,0.81,9.11,0.26,0.76,0.13,27.11,0.04,178.78,0.71,111,530.89,53.67,6.46,87.1,45.21,81.45,6,19.46,25,6,2.22,5,18.46,1373.02,5,5,6.51,40,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.415299759,-1.750602885,1
108,Public,3988,C04,B05,105,3996.75,,3986.75,0.41,0.52,0.91,8.19,0.2,0.9,0.15,28.49,0.04,194.45,0.83,111,549.25,40,6.72,81.64,41.81,84.79,6,17.58,25,6,2.47,5,27.23,1542.44,5,5,5,45.73,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.590299614,-2.410279006,1
109,Public,3988,C04,B05,107,3996.92,,3986.92,0.38,0.74,0.71,9.61,0.13,0.81,0.13,27.23,0.04,192.97,0.72,111,484.8,57.54,5.39,83.8,52.27,95.84,6,19.24,25,6,2.44,5,23.07,1326.34,5,5,5,48.76,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.382742615,-2.021990588,1
113,Public,3988,C04,B05,115,3997.58,,3987.58,0.42,0.9,0.91,10.02,0.23,0.89,0.14,26.94,0.04,208.38,0.8,111,500.07,64.13,5.41,91.16,51.52,127.92,6,19.75,25,6,2.37,7.73,17.45,1290.08,5.11,5,5,53.61,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.881030876,-1.387338494,1
115,Public,3988,C04,B05,119,3997.92,,3987.92,0.38,1.17,1.07,8.33,0.25,1.66,0.21,27.98,0.06,174.98,0.99,111,707.18,56.82,5.13,104.84,66.25,139.15,6.98,29.93,25,6,2.65,6.34,25.36,1353.5,5.2,5,5,91.06,Eagle Ford,Lower Eagle Ford,FALSE,1,1.202018501,-3.144170049,1
116,Public,3998,C04,B06,1,3998.08,,3988.08,0.42,0.82,1.28,10.82,0.23,1.07,0.19,24.94,0.07,193.45,0.88,111,606,66.78,4.94,105.34,62.47,144.98,6.75,25.08,25,6,2.97,13.39,26.25,1163.93,7.15,8.52,5,63.91,Eagle Ford,Lower Eagle Ford,FALSE,1,1.302034912,-1.339420698,1
117,Public,3998,C04,B06,3,3998.25,,3988.25,0.46,0.74,1.16,10.17,0.23,1.03,0.2,23.01,0.06,188.55,0.94,111,509.76,57.32,4.71,88.93,54.58,97.56,8.22,25.72,25,6,2.75,8.9,25.98,1283.11,7.13,5,5.12,63.42,Eagle Ford,Lower Eagle Ford,FALSE,1,0.854508997,-1.536793244,1
120,Public,3998,C04,B06,9,3998.75,,3988.75,0.45,0.7,0.59,10.73,0.58,0.78,0.13,25.67,0.04,195.58,0.67,111,553.56,74.66,6.54,111.5,64.24,140.57,7.11,20.48,25,6,2.42,5.64,22.69,1202.51,5,5,5.73,89.95,Eagle Ford,Lower Eagle Ford,FALSE,1,0.227111491,-1.667613048,1
121,Public,3998,C04,B06,11,3998.92,,3988.92,0.49,0.4,0.94,9.04,0.74,0.81,0.2,25.79,0.05,174.83,0.8,111,689.79,54.54,6.26,122.89,66.7,162.61,8.96,25.79,25,6,2.96,5,45.29,1232.09,5.54,12.77,5.93,82.45,Eagle Ford,Lower Eagle Ford,FALSE,1,2.169857799,-3.076698158,1
122,Public,3998,C04,B06,13,3999.08,,3989.08,0.49,0.47,0.73,8.06,0.05,0.75,0.13,26.02,0.04,185.58,0.72,111,499.23,44.41,5.27,110.36,62.28,140.98,6,23.12,25,6,2.61,5,30.48,1238.84,5,6.45,5.15,88.29,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.694077529,-2.314973102,1
123,Public,3998,C04,B06,15,3999.25,,3989.25,0.48,0.11,0.63,7.43,0.11,0.87,0.14,26.02,0.04,187.22,0.81,111,440.19,40,5.92,93.16,50.88,110.14,6.57,26.22,25,6,2.11,5,15.9,1234.29,5,5,5,65.43,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.486342267,-1.514439392,1
124,Public,3998,C04,B06,17,3999.42,,3989.42,0.43,0.68,1.58,7.31,0.33,1.1,0.22,29.04,0.1,180.54,0.9,632.46,666.46,40,3.79,64.06,42.95,65.54,6,23.06,25,6,2.22,5,22.31,1570.21,5,5,5,15.8,Eagle Ford,Lower Eagle Ford,FALSE,1,0.24188998,-2.511787097,1
125,Public,3998,C04,B06,19,3999.58,,3989.58,0.46,0.44,0.88,8.67,0.16,0.97,0.14,26.76,0.04,172.91,0.87,111,534.74,49.38,4.07,118.09,61.93,130.48,6,31.9,25,6,2.53,6.78,22.88,1267.02,5,5,6.85,80.29,Eagle Ford,Lower Eagle Ford,FALSE,1,0.338178836,-2.453684392,1
126,Public,3998,C04,B06,21,3999.75,,3989.75,0.48,0.42,1.56,7.04,0.21,1.34,0.17,24.94,0.08,152.28,1.26,111,756.89,59.31,3.04,107.11,68.49,162.69,8.9,37.97,25,6,2.61,5,26.72,1309.41,8.8,20.5,6.32,63.22,Eagle Ford,Lower Eagle Ford,FALSE,1,2.72305052,-2.518694216,1
131,Public,3998,C04,B06,31,4000.58,,3990.58,0.43,0.9,1.16,9.64,0.2,1.14,0.14,26.07,0.05,183.33,0.97,111,522.62,46.79,5.37,74.03,47.21,154.7,7.19,24.37,25,6,2.25,5,23.31,1391.68,5.84,5,5,40.38,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.342214406,-2.268684002,1
132,Public,3998,C04,B06,33,4000.75,,3990.75,0.53,0.37,1.14,11.89,0.22,1.19,0.18,20.91,0.06,160.31,1.05,111,784.2,76.57,4.72,125.97,66.25,124.56,7.07,27.48,25,6,2.66,7.21,28.71,1032.25,6.65,21.8,5,70.16,Eagle Ford,Lower Eagle Ford,FALSE,1,2.061324214,-1.230102893,1
136,Public,3998,C04,B06,41,4001.42,,3991.42,0.39,1.1,1.05,7.06,0.21,1.04,0.17,28.72,0.05,203.7,0.89,111,324.64,44.02,3,116.39,59.19,144.03,7.4,31.96,25,6,3.1,19.24,18.1,1091.1,11.73,27.95,6.14,78.16,Eagle Ford,Lower Eagle Ford,FALSE,1,1.317414812,-0.732757488,1
137,Public,3998,C04,B06,43,4001.58,,3991.58,0.44,0.84,1.23,10.7,0.16,0.98,0.15,25.43,0.05,201.08,0.78,111,389.07,58.17,5.41,65.18,39.31,101.55,6.59,16.82,25,6,2.48,9.4,17.64,1347.39,5.5,5,5,24.46,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.045276428,-0.877814476,1
143,Public,3998,C04,B06,55,4002.58,,3992.58,0.48,0.88,2.26,8.86,0.18,1.4,0.28,21.5,0.1,167.51,1.28,111,707.67,40,5.56,118.87,64.14,207.8,8.63,32.34,25,6,2.79,11.59,22.49,1174.98,7.66,15.15,5,79.16,Eagle Ford,Lower Eagle Ford,FALSE,1,2.956746546,-1.462876237,1
146,Public,3998,C04,B06,61,4003.08,,3993.08,0.55,0.07,1.07,10.9,0.22,1.29,0.17,20.53,0.06,161.16,1.2,111,409.54,65.61,4.43,116.41,50.85,87.73,8.16,35.06,25,6,2.59,8.32,23.04,1002.52,9.81,22.58,6.2,68.23,Eagle Ford,Lower Eagle Ford,FALSE,1,2.033305345,-0.440952963,1
147,Public,3998,C04,B06,65,4003.42,,3993.42,0.52,0.13,0.92,11.66,0.21,1.04,0.13,20.42,0.05,162.41,0.92,111,632.96,64.78,5.57,118.69,61.23,304.19,6.85,19.33,25,6,2.35,8.33,18.94,1026.62,5,14.82,5.44,93.21,Eagle Ford,Lower Eagle Ford,FALSE,1,1.174672675,-1.209939351,1
148,Public,3998,C04,B06,67,4003.58,,3993.58,0.42,0.36,0.73,6.01,0.3,0.94,0.15,27.46,0.03,164.69,0.99,111,476.99,40,4.24,122.19,64.03,153.15,9.49,32.81,25,6,2.97,6.16,34.91,1334.37,7.19,7.67,6.22,81.27,Eagle Ford,Lower Eagle Ford,FALSE,1,1.182472138,-3.45117051,1
149,Public,3998,C04,B06,71,4003.92,,3993.92,0.44,0.67,1.33,10.69,0.31,1.29,0.17,23.4,0.07,170.78,1.1,111,691,71.08,4.28,124.05,68.88,165.5,9.55,29.99,25,6,2.89,11.44,26.01,1146.38,8.65,15.71,7,82.34,Eagle Ford,Lower Eagle Ford,FALSE,1,3.050085594,-1.538676558,1
158,Public,3998,C04,B06,89,4005.42,,3995.42,0.6,0.43,1.58,10.78,0.23,1.16,0.19,17.85,0.06,180.63,0.84,111,633.42,74.09,5.77,87.12,53.78,179.96,8.94,24.5,25,6,2.85,9.43,29.14,1099.29,7.83,25.52,5.69,58.63,Eagle Ford,Lower Eagle Ford,FALSE,1,2.082678483,-0.082534679,1
159,Public,3998,C04,B06,91,4005.58,,3995.58,0.46,0.94,1.42,9.57,0.23,1.02,0.15,24.67,0.06,196.05,0.95,111,477.6,57.97,5.15,88.66,47.57,105.75,6.85,26.08,25,6,2.48,6.93,23.27,1175.73,5.44,17.4,6.18,78.77,Eagle Ford,Lower Eagle Ford,FALSE,1,0.427996918,-1.218338724,1
161,Public,3998,C04,B06,97,4006.08,,3996.08,0.52,0.14,0.9,8.29,0.23,1.04,0.13,23.3,0.06,183.89,1.04,111,512.46,60.84,6.53,117.17,66.85,158.84,9.95,33.87,25,6,3,13.69,24.8,1226.96,5.48,20.07,5.9,108.52,Eagle Ford,Lower Eagle Ford,FALSE,1,1.772237732,-1.214996648,1
163,Public,3998,C04,B06,101,4006.42,,3996.42,0.43,0.63,0.94,11.1,0.24,1.16,0.12,23.62,0.05,190.36,0.98,111,474.14,62.44,4.32,91.5,52.24,104.54,6,31.63,25,6,2.47,5,25.57,1115.46,5,8.74,7.49,118.52,Eagle Ford,Lower Eagle Ford,FALSE,1,0.85020864,-1.962728848,1
164,Public,3998,C04,B06,103,4006.58,,3996.58,0.38,0.63,0.78,10.13,0.19,0.9,0.1,26.37,0.05,203.13,0.8,111,455.61,43.3,4.86,77.35,41.62,76.6,7.2,25.58,25,6,2.31,8.11,14.88,1315.81,8.09,5,5.36,57.11,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.120911358,-1.293682712,1
