Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2
Cinco Saus,3498,C01,B01,81,3504.75,,3494.25,0.38,0.47,0.24,2.32,0.003,0.37,0.1,36.79,0.01,171.55,0.75,111,30.81,40,7.12,38.81,26.7,32.02,5.15,14.4,12.2,6,2,5,16.17,1636.8,0,5,3.66,10.82,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,83,3504.92,,3494.42,0.43,0.56,0.15,2.21,0.003,0.46,0.1,36.77,0.02,180.29,0.73,111,32.09,40,7.56,34.83,28.94,27.58,5.46,12.56,10.56,6,2.01,5,14.99,1581.81,1.76,5,4.49,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,85,3505.08,,3494.58,0.44,0.72,0.22,2.17,0.03,0.42,0.11,36.72,0.01,149.01,0.74,111,43.46,40,7.55,44.35,32.76,31.5,8.24,11.68,11.92,6,2,5,27.2,2026.92,0,5,4.31,11.99,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,87,3505.25,,3494.75,0.33,1.09,0.48,2.58,0.13,1.65,0.18,35.99,0.03,175.4,0.85,111,123.32,40,1,409.96,145.71,77.48,8.48,25.28,13.9,6,3.07,5,40.7,1716.69,0,5,5.53,102.44,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,89,3505.42,,3494.92,0.33,0.37,0.06,1.78,0.08,0.6,0.09,37.17,0.01,151.29,0.73,111,30.02,40,8.41,38.13,28.44,26.37,5.1,10.26,10.87,6,2.19,5,28.77,2058.52,1.02,5,0.98,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,91,3505.58,,3495.08,0.39,0.59,0.1,1.93,0.003,0.31,0.1,37.32,0.02,158.52,0.72,111,49.45,40,7.69,45.99,33.17,28.41,4.01,11.52,10.62,6,2.03,5,23.34,1875.1,0,5,4.05,7.21,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,93,3505.75,,3495.25,0.37,0.89,0.27,2.27,0.1,0.84,0.15,37.22,0.02,174.67,0.77,111,77.43,40,8.11,63.51,36.09,33.87,4.77,15.71,12.55,6,2.2,5,30.25,1969.18,0,5,5.56,25.3,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,95,3505.92,,3495.42,0.39,0.83,0.55,2.8,0.2,0.74,0.25,35.77,0.04,159.7,0.91,111,193.87,40,5.48,165.58,59.4,74.29,6.55,20.98,15.24,6,2.76,5,35.33,1714.76,0,5,2.77,91.55,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,97,3506.08,,3495.58,0.37,0.87,0.39,2.34,0.07,0.58,0.17,36.53,0.02,155.38,0.84,111,121.29,40,6.35,127.08,49.76,51.01,6.85,12.79,12.31,6,2.58,5,31.23,1769.71,0,5,3.69,65.24,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,99,3506.25,,3495.75,0.38,0.42,0.34,2.25,0.04,0.47,0.15,36.38,0.01,146.14,0.82,111,86.25,40,8.15,100.99,42.63,79.98,6.84,9.68,10.91,6,2.26,5,33.25,1666.65,0,5,4.69,29.87,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,101,3506.42,,3495.92,0.38,0.42,0.6,2.9,0.05,0.59,0.26,35.58,0.03,152.24,0.86,111,112.01,40,4.91,65.3,41.62,109.37,7.26,15.83,13.53,6,2.64,5.92,23.93,1562.48,8.33,5,4.33,17.53,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,103,3506.58,,3496.08,0.38,0.8,1.77,5.24,0.34,1.01,0.57,30.08,0.09,151.83,1.18,111,178.15,49.96,5.98,96.46,61.89,204.89,8.1,18.9,15.04,6,3.99,26.4,22.63,1408.02,11.62,12.77,6.44,19.13,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,105,3506.75,,3496.25,0.39,0.71,0.39,2.52,0.003,0.38,0.18,36.06,0.02,172.28,0.74,111,37.2,40,7.48,27.01,31.17,67.75,8.24,8.63,10.8,6,2.09,5,12.44,1829.72,4.24,5,5.15,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,107,3506.92,,3496.42,0.42,0.84,0.23,2.18,0.003,0.54,0.12,36.26,0.01,172.43,0.79,111,30,40,7.51,25.87,27.22,34.24,5.48,11.41,11.8,6,2.28,5,25.36,1693.24,0.25,5,1.65,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,109,3507.08,,3496.58,0.37,0.66,0.18,2.15,0.003,0.44,0.12,37.47,0.02,171.48,0.81,111,30,40,5.62,24.78,33.89,31.11,6.38,13,12.06,6,2.04,5,17.76,1674.07,2.44,5,2.25,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,111,3507.25,,3496.75,0.4,0.46,0.29,2.51,0.01,0.38,0.14,36.28,0.01,163.09,0.76,111,30,40,7.7,24.91,27.48,36.38,4.51,12.51,11.32,6,2.14,5,21.37,1851.62,0,5,2.69,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,113,3507.42,,3496.92,0.38,0.47,0.37,2.72,0.04,0.46,0.19,35.78,0.02,170.4,0.78,111,35.24,40,6.73,32.71,29.66,60.04,5.62,15.15,12.55,6,2.54,8.8,15.55,1926.81,6.06,5,4.43,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,115,3507.58,,3497.08,0.39,0.47,0.5,2.9,0.003,0.49,0.22,36.4,0.03,171.85,0.75,111,49.99,40,7.36,34.1,34.05,80.46,5.4,14.39,12.17,6,2.5,5,23.53,1737.32,2.11,5,3.9,6,Austin Chalk,AC-C
